File,Name,CWEs,Category
samples/bluetooth/peripheral_csc/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral_esp/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_esp/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_hids/src/hog.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral_hids/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_hids/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_hids/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_hids/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_hids/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_hr/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_ht/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_sc_only/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_sc_only/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_sc_only/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_sc_only/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_sc_only/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_sc_only/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_sc_only/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral/src/cts.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral/src/cts.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral/src/main.c,memcpy,CWE-120,buffer
