File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
RIOT 2018.07/sys/shell/commands/sc_gnrc_6ctx.c,104,20,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    unsigned cid = atoi(ctx_str);,4893983d0bcde0c2fa540207ad8e79d864e26f44e5614149a081632459cdc711
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,89,21,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,            iface = atoi(argv[3]);,9d35f3e1f879494fc58ff68b238c59d19e91e06319ed3909059bebd8970bf0c0
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,102,26,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,        unsigned iface = atoi(argv[3]);,831a314546a3a541ebb6471fe9fe44a81b5bc89a9bd6e987ed3dc5e9918408b4
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,117,26,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,        unsigned iface = atoi(argv[3]);,831a314546a3a541ebb6471fe9fe44a81b5bc89a9bd6e987ed3dc5e9918408b4
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,140,21,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,            iface = atoi(argv[3]);,9d35f3e1f879494fc58ff68b238c59d19e91e06319ed3909059bebd8970bf0c0
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,151,26,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,        unsigned iface = atoi(argv[3]);,831a314546a3a541ebb6471fe9fe44a81b5bc89a9bd6e987ed3dc5e9918408b4
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,160,33,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,            uint32_t ltime_ms = atoi(argv[5]);,19c13595d923ffa9954d25a2ba4409c102f20b25bf62e167be0d0b7f271dbf29
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,166,33,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,            uint32_t ltime_ms = atoi(argv[6]);,0ef40971c1a7200ba04b0c33de78e70d5926fa3cf03724e1d90c3f92616d2974
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,175,26,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,        unsigned iface = atoi(argv[3]);,831a314546a3a541ebb6471fe9fe44a81b5bc89a9bd6e987ed3dc5e9918408b4
RIOT 2018.07/sys/shell/commands/sc_gnrc_ipv6_nib.c,199,21,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,            iface = atoi(argv[3]);,9d35f3e1f879494fc58ff68b238c59d19e91e06319ed3909059bebd8970bf0c0
